214	13
213	13
242	13
220	13
239	13
243	13
216	13
247	13
211	13
240	13
248	13
219	13
244	13
222	13
237	13
223	13
218	13
226	13
212	13
225	13
210	13
209	13
215	13
224	13
241	13
238	13
217	13
246	13
221	13
245	13
1599	11
1596	11
1595	11
1600	11
1594	11
1601	11
1598	11
1597	4
1602	4
1246	9
1241	9
1244	9
1250	9
1259	9
1242	9
1248	9
1245	9
1249	9
1253	9
1284	9
1283	9
1247	9
1262	9
1243	9
1282	9
1252	9
1263	9
1260	9
1264	9
1261	9
1251	9
2366	12
2364	12
2356	12
2352	12
2350	12
2349	12
2353	12
2357	12
2347	12
2363	12
2360	12
2354	12
2361	12
2358	12
2365	12
2362	12
2359	12
2351	12
2355	12
2348	12
2400	6
2408	6
2373	6
2387	6
2399	6
2415	6
2390	6
2381	6
2379	6
2394	6
2397	6
2407	6
2377	6
2374	6
2384	6
2405	6
2380	6
2398	6
2402	6
2393	6
2392	6
2396	6
2383	6
2404	6
2371	6
2401	6
2410	6
2385	6
2411	6
2413	6
2388	6
2369	6
2376	6
2370	6
2403	6
2386	6
2389	6
2372	6
2382	6
2378	6
2368	6
2412	6
2391	6
2375	6
2406	6
2395	6
2409	6
2367	6
2414	6
1682	13
1679	13
1685	13
1683	13
1681	13
1680	13
1684	13
1571	6
1564	6
1557	6
1573	6
1576	6
1559	6
1553	6
1567	6
1563	6
1560	6
1562	6
1561	6
1575	6
1566	6
1569	6
1572	6
1570	6
1558	6
1556	6
1554	6
1568	6
1565	6
1555	6
1574	6
1861	13
1860	13
1858	13
1862	13
1863	13
1859	13
1689	8
1699	8
1691	8
1692	8
1694	8
1688	8
1700	8
1696	8
1690	8
1693	8
1686	8
1687	8
1695	8
1701	8
1697	8
1698	8
356	7
310	7
307	7
341	7
398	7
308	7
343	7
342	7
309	7
395	7
386	7
372	7
334	7
384	7
332	7
388	7
373	7
396	7
335	7
313	7
349	7
370	7
351	7
315	7
380	7
312	7
377	7
382	7
387	7
353	7
344	7
348	7
371	7
314	7
346	7
350	7
397	7
385	7
375	7
345	7
376	7
389	7
352	7
311	7
355	7
381	7
374	7
378	7
336	7
337	7
347	7
354	7
383	7
333	7
379	7
1157	7
1169	7
1167	7
1158	7
1162	7
1166	7
1165	7
1164	7
1156	7
1161	7
1159	7
1168	7
1163	7
1160	7
1155	7
230	9
228	9
233	9
231	9
227	9
234	9
232	9
229	9
236	9
235	9
689	8
662	8
670	8
682	8
688	8
715	8
686	8
669	8
716	8
681	8
690	8
683	8
684	8
697	8
664	8
668	8
666	8
695	8
663	8
667	8
687	8
694	8
685	8
692	8
665	8
693	8
691	8
696	8
1496	11
1501	11
1500	11
1495	11
1497	11
1491	11
1499	11
1492	11
1494	11
1498	11
1493	11
1490	11
1409	8
1399	8
1411	8
1398	8
1415	8
1413	8
1408	8
1426	8
1425	8
1420	8
1427	8
1402	8
1412	8
1410	8
1422	8
1406	8
1418	8
1405	8
1423	8
1417	8
1416	8
1400	8
1401	8
1421	8
1419	8
1428	8
1424	8
1407	8
1404	8
